malloc_size,latency
1024,0.000000033660
1024,0.000000030218
1024,0.000000031588
1024,0.000000029622
1024,0.000000028951
1024,0.000000029656
1024,0.000000028836
1024,0.000000028247
1024,0.000000034374
1024,0.000000030181
2048,0.000000068948
2048,0.000000063754
2048,0.000000061792
2048,0.000000061402
2048,0.000000063451
2048,0.000000064679
2048,0.000000060736
2048,0.000000067480
2048,0.000000061081
2048,0.000000064196
4096,0.000000079311
4096,0.000000080462
4096,0.000000082138
4096,0.000000079511
4096,0.000000079667
4096,0.000000082817
4096,0.000000081689
4096,0.000000080975
4096,0.000000083405
4096,0.000000080486
8192,0.000000102553
8192,0.000000105317
8192,0.000000105423
8192,0.000000103009
8192,0.000000101071
8192,0.000000103161
8192,0.000000104505
8192,0.000000110701
8192,0.000000101299
8192,0.000000106038
16384,0.000000160623
16384,0.000000152669
16384,0.000000159895
16384,0.000000151989
16384,0.000000159002
16384,0.000000156415
16384,0.000000158978
16384,0.000000161695
16384,0.000000158264
16384,0.000000154492
32768,0.000000417548
32768,0.000000446423
32768,0.000000475284
32768,0.000000483173
32768,0.000000446761
32768,0.000000430100
32768,0.000000402482
32768,0.000000411362
32768,0.000000447317
32768,0.000000434848
65536,0.000002031740
65536,0.000002109840
65536,0.000002354122
65536,0.000002200959
65536,0.000002067867
65536,0.000002101593
65536,0.000002163309
65536,0.000002251119
65536,0.000002335210
65536,0.000002067600
131072,0.000004821577
131072,0.000004860301
131072,0.000004446364
131072,0.000005013754
131072,0.000004972559
131072,0.000004621965
131072,0.000004606273
131072,0.000004431944
131072,0.000004929734
131072,0.000004898061
262144,0.000135345504
262144,0.000134372661
262144,0.000133735746
262144,0.000134237457
262144,0.000133849974
262144,0.000138566806
262144,0.000132583125
262144,0.000134921060
262144,0.000132835218
262144,0.000134540869
524288,0.000265646710
524288,0.000270381146
524288,0.000271127039
524288,0.000272507014
524288,0.000275575369
524288,0.000271144267
524288,0.000266548000
524288,0.000270021942
524288,0.000265562148
524288,0.000266587999
1048576,0.000535547283
1048576,0.000535557918
1048576,0.000550825830
1048576,0.000536341521
1048576,0.000559066273
1048576,0.000547482887
1048576,0.000532899793
1048576,0.000531988832
1048576,0.000532625779
1048576,0.000533379984
