mmap_size,elapsed_time
4096,0.000088270435
4096,0.000086986833
4096,0.000091483696
4096,0.000087872549
4096,0.000083068627
4096,0.000082145103
4096,0.000084333269
4096,0.000087526029
4096,0.000084233603
4096,0.000088152267
16384,0.000085106085
16384,0.000083783218
16384,0.000083899297
16384,0.000083767983
16384,0.000087853049
16384,0.000088427295
16384,0.000086469258
16384,0.000048410181
16384,0.000088438418
16384,0.000090528686
65536,0.000088910582
65536,0.000091642191
65536,0.000049440988
65536,0.000086143322
65536,0.000084974941
65536,0.000086208226
65536,0.000083632750
65536,0.000085402115
65536,0.000086686464
65536,0.000047538877
262144,0.000090087950
262144,0.000087283674
262144,0.000047698625
262144,0.000089360432
262144,0.000085717572
262144,0.000084650545
262144,0.000047907950
262144,0.000084674921
262144,0.000085328003
262144,0.000087460078
1048576,0.000085637316
1048576,0.000087940349
1048576,0.000089659982
1048576,0.000088143370
1048576,0.000087956083
1048576,0.000087434058
1048576,0.000083004513
1048576,0.000082363261
1048576,0.000087040244
1048576,0.000083708989
