mmap_size,elapsed_time
4096,0.000043154457
4096,0.000044719614
4096,0.000042504409
4096,0.000042203837
4096,0.000044674650
4096,0.000024128926
4096,0.000042162091
4096,0.000044090980
4096,0.000042098602
4096,0.000045589622
16384,0.000045080704
16384,0.000045252286
16384,0.000044098101
16384,0.000044995912
16384,0.000046646472
16384,0.000044171075
16384,0.000046247857
16384,0.000042927371
16384,0.000045576820
16384,0.000044208227
65536,0.000041908872
65536,0.000043554035
65536,0.000043749505
65536,0.000042175373
65536,0.000044909163
65536,0.000044795014
65536,0.000044794164
65536,0.000044931113
65536,0.000045151609
65536,0.000044956730
262144,0.000045079331
262144,0.000023841993
262144,0.000041199606
262144,0.000023834962
262144,0.000041584290
262144,0.000044075731
262144,0.000044885699
262144,0.000042562506
262144,0.000023541438
262144,0.000045045100
1048576,0.000042695879
1048576,0.000023763895
1048576,0.000042299873
1048576,0.000043411451
1048576,0.000042612868
1048576,0.000043168563
1048576,0.000045200054
1048576,0.000044729178
1048576,0.000042437985
1048576,0.000044586862
