iterations,elapsed_time
100,0.000152885520
100,0.000127114200
100,0.000156227160
100,0.000122189630
100,0.000132507420
100,0.000128077260
100,0.000135857840
100,0.000149636600
100,0.000113598940
100,0.000122490320
1000,0.000135021014
1000,0.000127480583
1000,0.000128590243
1000,0.000135421541
1000,0.000135685134
1000,0.000132686928
1000,0.000126492260
1000,0.000136016575
1000,0.000130845333
1000,0.000137283551
10000,0.000135705768
10000,0.000131768306
10000,0.000128285661
10000,0.000130026829
10000,0.000063998083
10000,0.000128201879
10000,0.000138666802
10000,0.000131841663
10000,0.000132524339
10000,0.000138897066
