mmap_size,latency
4096,0.000000608084
4096,0.000000596015
4096,0.000000592717
4096,0.000000595800
4096,0.000000604798
4096,0.000000593207
4096,0.000000619157
4096,0.000000591679
4096,0.000000607066
16384,0.000000597457
16384,0.000000593109
16384,0.000000611553
16384,0.000000601789
16384,0.000000608764
16384,0.000000608218
16384,0.000000602986
16384,0.000000589449
16384,0.000000606271
65536,0.000000595502
65536,0.000000602291
65536,0.000000580467
65536,0.000000588179
65536,0.000000589572
65536,0.000000595910
65536,0.000000587149
65536,0.000000590173
65536,0.000000587393
