mmap_size,elapsed_time
4096,0.000043109172
4096,0.000056203995
4096,0.000019224419
4096,0.000047497904
4096,0.000031573392
4096,0.000016217041
4096,0.000012540396
4096,0.000033501781
4096,0.000026105639
4096,0.000014780147
16384,0.000013706730
16384,0.000032330093
16384,0.000014759223
16384,0.000050722709
16384,0.000081706307
16384,0.000014762754
16384,0.000036595528
16384,0.000014226257
16384,0.000023951743
16384,0.000052510015
65536,0.000050447047
65536,0.000027322211
65536,0.000030240954
65536,0.000054977033
65536,0.000028817049
65536,0.000014711922
65536,0.000020152977
65536,0.000044661931
65536,0.000012639612
65536,0.000037000858
262144,0.000017562479
262144,0.000019475178
262144,0.000031637229
262144,0.000017089629
262144,0.000022460578
262144,0.000024010041
262144,0.000014894724
262144,0.000017880234
262144,0.000015013153
262144,0.000060004397
1048576,0.000022568915
1048576,0.000035301053
1048576,0.000019639842
1048576,0.000021497760
1048576,0.000020836757
1048576,0.000030070530
1048576,0.000029506927
1048576,0.000039371389
1048576,0.000040927883
1048576,0.000038549054
