mmap_size,latency
4096,0.000019082789
4096,0.000015342392
4096,0.000024933761
4096,0.000018312626
4096,0.000020675819
4096,0.000027765325
4096,0.000020092357
4096,0.000018520490
4096,0.000020144889
4096,0.000025980001
16384,0.000019011521
16384,0.000017552862
16384,0.000029078689
16384,0.000027058095
16384,0.000026952082
16384,0.000023145967
16384,0.000027852511
16384,0.000023458830
16384,0.000026358895
16384,0.000024394298
65536,0.000019834348
65536,0.000021045153
65536,0.000016199504
65536,0.000027958733
65536,0.000018206468
65536,0.000026060734
65536,0.000023607491
65536,0.000015976317
65536,0.000018786977
65536,0.000027543478
