iterations,elapsed_time
100,0.000000723480
100,0.000000629690
100,0.000000669620
100,0.000000641340
100,0.000000763560
100,0.000000747640
100,0.000000630930
100,0.000000861580
100,0.000000842990
100,0.000000690550
1000,0.000000650218
1000,0.000000556774
1000,0.000000664379
1000,0.000000657545
1000,0.000000526745
1000,0.000000625225
1000,0.000000601215
1000,0.000000619116
1000,0.000000690695
1000,0.000000606891
10000,0.000000620840
10000,0.000000627631
10000,0.000000731620
10000,0.000000575313
10000,0.000000622441
10000,0.000000647572
10000,0.000000645875
10000,0.000000559725
10000,0.000000541565
10000,0.000000597999
