iterations,elapsed_time
100,0.000000519600
100,0.000000503230
100,0.000000519600
100,0.000000507990
100,0.000000514440
100,0.000000607250
100,0.000000529500
100,0.000000507650
100,0.000000735630
100,0.000000510300
1000,0.000000476616
1000,0.000000463757
1000,0.000000472643
1000,0.000000499349
1000,0.000000469178
1000,0.000000459806
1000,0.000000462239
1000,0.000000476925
1000,0.000000623615
1000,0.000000469433
10000,0.000000460755
10000,0.000000480930
10000,0.000000479079
10000,0.000000473076
10000,0.000000471150
10000,0.000000482559
10000,0.000000472061
10000,0.000000463185
10000,0.000000463900
10000,0.000000494664
