malloc_size,elapsed_time
4096,0.000000051060
4096,0.000000046268
4096,0.000000046277
4096,0.000000045895
4096,0.000000041967
4096,0.000000046246
4096,0.000000049423
4096,0.000000041446
4096,0.000000046056
4096,0.000000041819
8192,0.000000043811
8192,0.000000046906
8192,0.000000050174
8192,0.000000047085
8192,0.000000046717
8192,0.000000041945
8192,0.000000042480
8192,0.000000046435
8192,0.000000043724
8192,0.000000044555
16384,0.000000040546
16384,0.000000046624
16384,0.000000043409
16384,0.000000050976
16384,0.000000049954
16384,0.000000048798
16384,0.000000044063
16384,0.000000044051
16384,0.000000043550
16384,0.000000044476
32768,0.000000049926
32768,0.000000042388
32768,0.000000044134
32768,0.000000041667
32768,0.000000041070
32768,0.000000041811
32768,0.000000043752
32768,0.000000062819
32768,0.000000047909
32768,0.000000041793
65536,0.000000043736
65536,0.000000046542
65536,0.000000046731
65536,0.000000050000
65536,0.000000044896
65536,0.000000043721
65536,0.000000058849
65536,0.000000054315
65536,0.000000046297
65536,0.000000046024
131072,0.000000048552
131072,0.000000042861
131072,0.000000046354
131072,0.000000044552
131072,0.000000045848
131072,0.000000045283
131072,0.000000054337
131072,0.000000045917
131072,0.000000047551
131072,0.000000044724
262144,0.000006449065
262144,0.000006608290
262144,0.000007038974
262144,0.000006713398
262144,0.000007075405
262144,0.000006859006
262144,0.000006875909
262144,0.000006347476
262144,0.000006107210
262144,0.000006213116
1048576,0.000006794553
1048576,0.000007373273
1048576,0.000006864344
1048576,0.000006585799
1048576,0.000006976119
1048576,0.000007590754
1048576,0.000006660986
1048576,0.000006544738
1048576,0.000007889512
1048576,0.000006716111
