mmap_size,latency
4096,0.000002648356
4096,0.000002623414
4096,0.000002724320
4096,0.000002595518
4096,0.000002722506
4096,0.000002625449
4096,0.000002577867
4096,0.000002564780
4096,0.000002675872
4096,0.000002631017
16384,0.000002758612
16384,0.000002813567
16384,0.000002759990
16384,0.000002751981
16384,0.000002751524
16384,0.000002753399
16384,0.000002742015
16384,0.000002664022
16384,0.000002716057
16384,0.000002815820
65536,0.000003246768
65536,0.000003167420
65536,0.000003195732
65536,0.000003174687
65536,0.000003221604
65536,0.000003212126
65536,0.000003221127
65536,0.000003208394
65536,0.000003218127
65536,0.000003303687
